Date,Std Week,Rain,Evap,Max Temp,Min Temp,Wind Velocity,Solar Radiation,Bright Sunshine
8/26/2018,34,0,4.3,30.2,23,10,18.3,5.3
8/27/2018,35,4.5,2.5,29.5,22.2,9.6,12.9,1.4
8/28/2018,35,13.2,4.7,29.2,22.6,9.2,11.7,0.4
8/29/2018,35,14,3.6,29.6,22.4,7.6,15,2.9
8/30/2018,35,0,5.2,30.6,23,8.2,19.7,9.8
8/31/2018,35,0,4.9,30.6,23,7,18,9.8
9/1/2018,35,0,4.6,31,23,8.2,14.9,3.8
9/2/2018,35,10.2,5.8,30.6,22.2,8.6,17,7.9
9/3/2018,36,1.5,0.9,29.8,22.6,7.2,14.6,5.2
9/4/2018,36,0,4.3,30.2,22.4,7.1,14.1,7
9/5/2018,36,0,4.6,30.4,23.2,8.4,15.1,7.6
9/6/2018,36,11.7,5.7,30,21,8.6,14.6,3.9
9/7/2018,36,0,4.1,28.4,21.9,8.5,12.5,3.7
9/8/2018,36,0,6.8,30.4,22,9.3,18.1,8.1
9/9/2018,36,0,4.4,31,20.2,4.8,16.9,7.8
9/10/2018,37,0,4,31.6,22,3.1,18.8,8.8
9/11/2018,37,0,5.3,32.6,22.2,4.4,18.5,9.3
9/12/2018,37,28,6.4,33.2,21.2,4.7,16.6,8
9/13/2018,37,2.1,3.7,31.5,22.4,3.3,15.3,3.2
9/14/2018,37,0,4.5,32.4,22.4,2.8,19.6,7.6
9/15/2018,37,0,5.2,33.6,22.8,2.1,19.3,8.7
9/16/2018,37,0,6,33.4,23.8,2.9,19.1,8.7
9/17/2018,38,0,6.2,33.2,23,4.7,19.5,8.4
9/18/2018,38,6.8,4,31.4,22.2,5.4,13,3.2
9/19/2018,38,0,4,30.2,22.2,5.5,16.3,4.8
9/20/2018,38,0,4.4,31,22.6,5.5,13,2.6
9/21/2018,38,0.2,4.6,30.2,23.6,6.3,11.8,0.4
9/22/2018,38,4.9,0.6,25.8,22.2,6.9,4.5,0
9/23/2018,38,0,4.2,31.2,22.8,7.7,19.5,7.4
9/24/2018,39,3.3,4.3,32.2,22.4,5.3,17.6,7.8
9/25/2018,39,0,3.8,32.6,23.2,3.5,17,6
9/26/2018,39,0,4.4,33,23,3,17,6
9/27/2018,39,8.4,4.6,30.4,21.2,2.9,10.5,2.2
9/28/2018,39,0,3.4,31.2,22.2,2.3,16.8,7
9/29/2018,39,9.6,3.4,32,21.8,2,13.2,4.3
9/30/2018,39,9.3,4.1,32.2,21.6,3,14.8,6.2
10/1/2018,40,0,3.4,32.4,22.6,2.2,17,7.3
10/2/2018,40,0.6,4,32.2,22.2,3.2,15.2,5.4
10/3/2018,40,0,5,33,22.6,4,19.4,7.9
10/4/2018,40,0,4.4,33,23.2,4,16.4,7.6
10/5/2018,40,0,5.9,32.4,21.6,6,19,8.2
10/6/2018,40,0,7.2,32,19.4,6,20.8,9.3
10/7/2018,40,0,5.4,32,19.5,4.6,18,8.7
10/8/2018,41,0,4.8,32.2,20.2,3.4,17.2,8.4
10/9/2018,41,0,5.8,33,17,2.3,19,8.4
10/10/2018,41,0,4.8,33,17.2,1.8,18.7,8.5
10/11/2018,41,0,5.9,33.2,16.6,3.8,17.9,4.9
10/12/2018,41,0,5.9,32.5,16.2,5.8,15.8,2.7
10/13/2018,41,0,5.3,32.4,17.4,4,19.4,7.2
10/14/2018,41,0,4.8,32.6,19.5,2.9,17.3,8.4
10/15/2018,42,0,6.2,33.2,23.4,4,17.8,7.9
10/16/2018,42,0,3.8,31.4,22.6,4,10,1.2
10/17/2018,42,23.7,6.5,32.2,20.2,4.8,13.2,4.8
10/18/2018,42,0.8,2.2,30,21.8,2.9,11.9,2.7
10/19/2018,42,0,3.7,30.8,18.4,2.8,14.4,3.5
10/20/2018,42,0,5.8,31.4,17.2,3.8,19.6,9.6
10/21/2018,42,0,5.4,32.2,21,3.7,19.3,9.7
10/22/2018,43,0,5.4,33,18.2,3.6,18.3,8.8
10/23/2018,43,0,5,33.6,19.2,2.7,18,9
10/24/2018,43,0.6,3.6,33.4,22.2,3.7,15,8.1
10/25/2018,43,0,3.2,31,17.8,3,9.1,1.2
10/26/2018,43,0,6.6,32.6,15.2,5,16.9,7.4
10/27/2018,43,0,7.2,32,14.6,5.7,19.3,10.3
10/28/2018,43,0,6.6,32.8,13.4,2.5,19,10.3
10/29/2018,44,0,6,32.2,13.2,3.7,18.4,9.4
10/30/2018,44,0,5.6,30.6,12.2,2.2,19.6,10.4
10/31/2018,44,0,5.8,31,12.6,2.6,18.8,10.2
11/1/2018,44,0,5.4,31.2,15.8,2.4,18.5,10
11/2/2018,44,0,4.4,31.4,17.6,4.1,15,8.5
11/3/2018,44,0,3.4,28.6,21.8,5.9,10.6,4.4
11/4/2018,44,0,5,30.6,20.8,7.3,13.7,5
11/5/2018,45,0,5.2,32,18.6,6,17.6,9.5
11/6/2018,45,0,5.3,33.2,19,4.2,16.8,8
11/7/2018,45,0,4.9,33.6,18.6,3.6,15.2,7.6
11/8/2018,45,0,4.8,33.2,18.4,3.8,16,8
11/9/2018,45,0,4.8,32.8,17.4,3.6,15.6,8.1
11/10/2018,45,0,5,32.2,16.4,2.8,15.6,8.9
11/11/2018,45,0,5.6,32.8,13.4,3.1,11.2,9.6
11/12/2018,46,0,6.2,32.8,11.6,1,18.6,10.2
11/13/2018,46,0,6.4,31.8,10.8,1.3,18.8,10.3
11/14/2018,46,0,5.3,31.6,10.6,1.3,18.1,9.9
11/15/2018,46,0,5.5,32.4,12.8,2.3,17.7,10
11/16/2018,46,0,6.5,33.2,15.2,2.6,18,10
11/17/2018,46,0,5.3,33,23,4.4,16.5,9.9
11/18/2018,46,0,4.9,32.4,20.4,1.2,14,6.7
11/19/2018,47,0,5,32.6,22.4,1.4,13.6,6.9
